Firm Name,Year End,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",Gross claims incurred (£m),Gross combined ratio,Gross expense ratio,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",Net combined ratio,Net expense ratio,Pure gross claims ratio,Pure net claims ratio
Firm 1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 1,2017,0.5889941649851628,0.005515162433567464,0.6750506932790861,77.25125440877,9.894597449379987,71.2988409838318,41.013059968847735,17.534691168824644,17.184307980672962
Firm 1,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 10,2016,48.92676170520725,3.671435815594944,1.5201164928867645,0.12695365023438726,103.63475217890054,0.7955763615714424,0.15725873127850556,0.5421202818800204,0.4816834076741745
Firm 10,2017,83.33865989016422,100.89725449283647,0.3501611482951162,0.025788849304526597,31.950665358610767,1.145839027865052,0.8237712621398708,1.6123864082821437,0.4571163074042325
Firm 10,2018,168.67169170900624,138.3456332608447,1.2919615374229725,0.6058254511037993,103.30193159834967,0.4935542740717888,0.4191208086629825,1.2011239362654758,1.0537725144813896
Firm 10,2019,69.9267023956646,122.9845538632637,0.3574123745850338,0.455562046437292,21.43786993972497,1.5104252319571778,0.2900927551816981,0.19483077712116134,0.9661483637468284
Firm 10,2020,253.33025005340468,189.69732384471436,0.30630312830707807,0.37461244218390355,172.0825946640494,0.07472172245350553,0.013781017132173334,0.8596547951551985,0.24202721864731336
Firm 100,2016,1153.8069333110723,52.918338109029946,0.8583712513098076,0.35572315034794966,210.3116911639808,0.2561298548745322,0.24136159361138007,0.34753693408326086,0.009218810978316333
Firm 100,2017,34.0336241162197,468.97967115988337,0.4639853661445433,0.37444049891097464,58.30087147237719,0.02297402456900654,0.4457269362021786,1.865358080510807,0.15210472324378352
Firm 100,2018,424.2779388057578,71.43365971506023,0.14300582054661873,0.04324009003078291,145.87441452483446,0.3131636830557835,0.29578473698968666,1.0038163633461028,1.4266661651570274
Firm 100,2019,45.9052271044627,61.10811903621283,1.3782775211966611,0.03922224457172945,318.407740309829,0.9216249805406997,0.31364664367725853,0.42497277329290734,0.037679705363425235
Firm 100,2020,128.46632850373916,106.67979706034122,1.0139630099567138,0.29941572481029344,231.68014750227707,0.04247840575377384,0.3134122777015045,0.8386940508049526,0.24012827096238432
Firm 101,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 101,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 101,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 101,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 101,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 102,2016,-28.049284268893125,113.15086635883216,1.5062291732416835,0.26761459522865255,-20.968667969907933,0.8327162830948567,0.4987917697954786,0.4760284310538878,0.11531464472019218
Firm 102,2017,-4.608009061855764,494.8654640583808,0.8905653522381866,0.12319979723684744,-6.586406440053245,0.6604348754673303,0.8882860030975483,0.26732621792757305,0.47416200379135304
Firm 102,2018,-16.43230497660585,201.42693939171258,1.3515576935350064,0.7743367778679732,-8.073936403159841,1.2914292237711993,0.5939947578682738,0.7687781914056416,0.5340225167176227
Firm 102,2019,-29.916760400927384,576.804241531979,1.1148258329555956,0.5204587096915324,-8.858260833720419,1.3785936917783816,0.7101074849653111,0.7139144922254179,0.05538748842397694
Firm 102,2020,23.180701884848276,137.97339925845503,0.8528656269451288,1.0852843003483705,111.81561510548482,1.6775282240237301,1.0793805960520206,0.0900843239877413,0.34271108075750756
Firm 103,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firm 103,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
